case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,Conclusion
,,,,,,,,,,
3,"Piramal Enterprises Ltd vs The State Of Maharashtra And Another on 11 June, 2024","3. The facts as discerned from the petition are:- During the financial year 2010-11, the petitioner entered into a Business Transfer Agreement dated 21 May, 2010 (for short ""BTA"") with one M/s. Abbott Healthcare Pvt. Ltd. (for short ""Abbott Healthcare"") to sell, assign, transfer, convey and deliver to Abbott Healthcare ""the Base Domestic Formulations Business"" (comprised of Healthcare Solutions business and the mass market branded formulation - (Truecare business) on a ""going concern""

basis for a total cash consideration of Indian Rupees equivalent of US $ 3.72 billion.
4. Under the BTA, for the limited purpose of adjudication of stamp duty, a bifurcation of the part consideration was provided in terms of Article 3 read with Schedule 3.3 of the BTA.
5. On 08 September, 2010, the petitioner and Abbott Healthcare entered into an amendment agreement to the BTA, to also include remaining tangible and intangible assets, in terms of which the consideration payable for the acquisition of the said business as a going concern, was increased to US $ 3.80 billion.","1. This petition under Articles 226 and 227 of the Constitution of India challenges an order dated 31 March, 2021 passed by respondent no.2-Joint Commissioner of State Tax (for short, ""reviewing authority"") under Section 25 of the Maharashtra Value Added Tax Act, 2002 (for short ""MVAT Act"") exercising the review jurisdiction. By the impugned order, respondent no.2 has reviewed the order dated 16 March, 2015 passed by the assessing officer finalizing the petitioner's assessment for the financial year 2010-11. Consequent to the impugned order, a notice of demand dated 31 March, 2021 is issued to the petitioner under Section 32 of the MVAT Act, which is also assailed by the petitioner.

2. Thus, the primary question which arises for consideration in the present proceedings is as to whether the respondents in the facts of the case could tax sale of the petitioner's 'Base Domestic Formulation Business' as a ""going concern"" (slump sale) under the provisions of the Maharashtra Value Added Tax Act, 2002.","11 June, 2024 wp 2836-21.doc resulting in patent violation of the fundamental rights and the constitutional rights enshrined under Article 14, 19(1)(g), 21, 265 and 300A of the Constitution.",,B. 1st Affidavit in reply on behalf of the Respondents:-,"12. The respondents have opposed the writ petition by filing a reply affidavit of Dr. David Alvares - respondent No.2. At the outset, the affidavit contends that this petition under Articles 226 and 227 of the Constitution is not maintainable as there is no warrant for this Court to exercise its extraordinary jurisdiction. It is contended that the impugned order can be effectively challenged before the Maharashtra Sales Tax Tribunal under Section 26 of MVAT Act, 2002, hence, a writ petition filed without exhausting alternative remedy ought not to be entertained. It is contended that there is mandate of pre-deposit of 10% of the tax before filing an appeal as per the provisions of sub-section (6A) of Section 26 of the MVAT and to avoid such pre-deposit, the petitioner has filed this petition.","14. On merits of the petitioner's case, it is contended that initiation of an action for review of the assessment order dated 16 March, 2015 by issuing show cause notice and the order passed on the review proceedings and the consequent demand notice, are well within the jurisdiction of respondent No. 2 under the provisions of Section 25 of the MVAT Act, hence, it is not correct for the petitioner to contend that the proceedings are without jurisdiction or in excess of jurisdiction or they are on wrongful assumption of jurisdiction. Also the allegations of the petitioner that the impugned order is in violation of the principles of natural justice, is stated to be too casual for the reason that right from the issuance of show cause notice till the impugned order was passed, the petitioner was heard through its representative on a number of occasions. Hence, as sufficient opportunity of a hearing was afforded not only to the representative of the petitioner but also to the representative of Abbott Healthcare (transferee) whose advocate could not physically attend due to the spread of COVID in Delhi, he was heard on an audio/teleconference as arranged when Abbott's submissions were recorded. Also, sufficient
",,"2. Total amount of Rs. 2606,79,63,675.00 should be paid into Government Treasury at MUMBAI within 30 days from the date of service of this Demand Notice.
"
,,"6. The petitioner was subjected to assessment for financial year 2010- 11 under Section 23 of the MVAT Act. An assessment order dated 16 March, 2015 was passed, inter alia holding that the transaction contemplated and effected under the BTA, was a transfer of a business ""on a going concern basis"" and hence, not exigible to the Value Added Tax (for short, ""VAT"") under the MVAT Act. This, according to the petitioner, was after taking into account all relevant aspects concerning the BTA. Accordingly, the consideration received towards the 'sale of the business' was excluded from the turnover of the petitioner, for the purpose of levy of VAT under the MVAT Act.
7. After about two years, the petitioner received a show cause notice dated 06 April, 2017 issued under Section 25 of the MVAT Act read with Rule 30 of the Maharashtra Value Added Tax Rules, 2005 (for short, ""MVAT Rules"") in Form 309 proposing to review the assessment (supra) for the financial year 2010-11, by holding that the business transfer was incorrectly allowed as a slump sale. Such notice was solely on the ground that the allocation of cash consideration for stamp duty purposes was provided in Schedule 3.3 of the BTA, which included consideration for tangible, intangible, movable and immovable assets, which was required to be considered as ""turnover"" of the petitioner's sales for the said period and","by the petitioner of certain intellectual property rights namely trade name, logo, goodwill etc. for a fixed period of time in the BTA. Respondent no.2 held that the 'right to use' or 'lease' is covered under the definition of sale under the MVAT Act, hence, the said transaction of transfer of rights for a fixed period falls within the scope of the definition of ""sale"" under the MVAT Act. Accordingly, the Joint Commissioner/respondent No.2 by the impugned order confirmed the notice issued under Section 25 of the MVAT Act and raised the impugned demand notice dated 31 March, 2021.","11 June, 2024 wp 2836-21.doc MVAT Act. In such context, it is contended that under the definition of ""business"" as defined by Section 2(4) of the MVAT Act and the Explanation (iv) thereto provides that any transaction in relation to the commencement or closure of business shall be deemed to be transaction comprised in business. It is stated that the transfer of business in question is covered under the definition of ""business"" and liable to tax. That slump sales are not being exempted from tax under the GST regime, it is also liable to be taxed under the MVAT, however, liable to tax at NIL rate which means it is taxable. Illustratively, it is contended that the Tamil Nadu VAT Act provides for sale of business undertaking under Section 2(41) as not liable to be included in turnover, but for such specific exclusion, it was liable to sales tax.",,13. It is next contended that even otherwise the impugned order of respondent No.2 is purely based on the facts of the case and the applicability of relevant law. It is hence contended that this Court ought,"11 June, 2024 wp 2836-21.doc petitioner to buttress its contention, are on the peculiar facts of individual cases and the principles as laid down in such decisions are not applicable to the peculiar facts of the present case. Further the allegations of the petitioner that there is non application of mind by respondent No.2 in passing the impugned order, merely because some parts of the impugned order are similar to the portions of the show cause notice dated 15 October 2015 issued by the Jurisdictional Service Tax Authorities, is not correct, as the impugned order is independently passed considering all facts and law involved in the present case. It is hence contended that there is no violation of principles of natural justice. The petition is thus not maintainable.","iii. On the petitioner's contention that the impugned order is beyond the scope of show cause notice, it is submitted that a plain reading of the show cause notice would demonstrate that the scope of the show cause notice was wide, which was inter alia on the incorrect allowing of deduction of value of slump sales and non- consideration of the value of the assets as separately shown under Schedule 3.3 of the BTA. The show cause notice also specifically mentions other allied issues which widened the issue of show cause notice in the widest possible manner. Also the petitioner had ample",,"(vi) all other movable assets, properties, resources, facilities, utilities and services, including machinery, equipment, systems, implements, apparatus, instruments, mechanical and spare parts, fixtures, trade fixtures, tools, tooling, dyes, production supplies, storage tanks, pipes and fittings, utilities, utensils, furniture and fixtures, office equipment, communication facilities and capital work-in-progress, training materials and equipment, supplies, owned and leased motor vehicles, laptops, mobile phones and personal digital assistants used by the Transferred Employees, and other tangible property of any kind;
"
,,"11 June, 2024 wp 2836-21.doc exigible to tax. According to the petitioner, the review was premised only on the basis of the itemized break-up of the total consideration being provided by the parties purely for the stamp duty purposes and as permissible in law, hence, VAT could not be levied on the assets transferred, as a part of the business transfer.
8. The petitioner responded to such notice by its reply dated 05 May, 2017 contesting the revenue's case in the review notice. In its reply, the petitioner inter alia contended that the itemized value of assets does not affect the nature of the transaction as a ""transfer of business"". The petitioner also contended that transfer under BTA was in the nature of ""transfer of business"" as a going concern would not attract tax under the provisions of the MVAT Act, hence, it was not taxable. There were several other contentions raised on facts and law.
9. On such notice, a personal hearing was held by respondent no.2 on 22 August, 2017 and 22 March, 2021 when the authorized representative of the petitioner made extensive submissions, on the basis of the case as made out in the petitioner's reply. Also, the representative of Abbott Healthcare was heard by teleconference. The petitioner also submitted a synopsis of its case under the petitioner's letter dated 22 March, 2021.","11. On the above conspectus, the petitioner being aggrieved by the impugned order dated 31 March 2021 and by the impugned demand has filed this petition inter alia contending that the impugned order is passed sans jurisdiction, in excess of jurisdiction or on wrongful assumption of jurisdiction and in complete abrogation of principles of natural justice,","27. It is next contended that as per the settled position in law, form or nomenclature of a document is not germane but the substance of the agreement is determinative of the test for interpretation. It is contended that the decisions cited/referred by the petitioner in the petition are cases where transfer of business undertaking is on ""as is where is basis"". To avoid prolix, the other details in the affidavit are not being discussed, to be discussed as and when the context arises.",,"11 June, 2024 wp 2836-21.doc opportunity to file written submissions was granted to the petitioner, hence, it is not correct for the petitioner to contend that the petitioner was not heard.
","11 June, 2024 wp 2836-21.doc that the incidence of tax and calculation of value for the purposes of tax are two different areas. It is next contended that the concept of measure of tax cannot be assailed on the ground that it amounts to incidence of tax. It is stated that when the transfer of specific intellectual property is liable to tax, the ascertainment of value thereof, as a measure of tax on the basis of the value offered for stamp duty purposes, cannot be faulted, as merely relying on the value of the items in question for the purpose of stamp duty cannot be equated with the incidence of tax on slump sale.","34. We have heard learned counsel for the parties and with their assistance, perused the record.",,"11 June, 2024 wp 2836-21.doc evidencing the Registrations issued to Seller by a Governmental Authority, in each case to the extent assignable with or without the Consent of the issuing Governmental Authority; and (B) all related Registration applications, product dossiers, clinical research and trial agreements, data results and records of clinical trials and marketing research, design history files, technical files, drawings, manufacturing, packaging and labeling specifications, validation documentation, packaging specifications, quality control standards and other documentation, research tools, laboratory notebooks, files and correspondence with regulatory agencies and quality reports, and all relevant pricing information and correspondence with Governmental Authorities with respect to such pricing matters;
"
,,"10. It is on such backdrop, respondent no.2 passed the impugned order dated 31 March, 2021 and consequent thereto, issued the impugned notice under Section 32 of the MVAT Act wherein a demand of Rs.2606,79,63,675/- (about Rs. 2606.79 Crs.) (including interest) was confirmed against the petitioner, on the ground that while there has been a transfer of the entire business, there was also a transfer of ""right to use""","11 June, 2024 wp 2836-21.doc not to entertain the present petition owing to the reason that the petition requires this Court to dwell on the factual controversy, also for such reason, this writ petition ought not to be entertained.
","11 June, 2024 wp 2836-21.doc Sundardas Harjiwan2, (iii) Premier Automobiles Limited vs. Income- tax Officer & Anr.3, (iv) Coromandal Fertilisers Limited, Sec'bad vs. State of A.P. & Ors.4, (v) Ram Sahai vs. Commissioner S.T5, (vi) Dy. Commissioner of Salestax vs. M.S. Dat Pathe 6, (vii) M/s. Paradise Food Court vs, State of Telangana & Ors.7 and (viii) Triune Projects Pvt. Ltd. vs. Dy. Commissioner of Income-tax8. iv. It is submitted that Schedule 3.3 of the agreement is formulated for a limited purpose, solely for the purposes of payment of stamp duty which is a requirement of law, and which does not in any way reflect that the agreement between the petitioner and the purchaser of the business was to effect an itemized sale. Even otherwise, there is no bar on itemized sale if such itemized sale is for transfer of business as a going concern. Lump-sum consideration as a pre-condition itself would not attract the provisions of the MVAT Act, hence, no reference can be made to the aspect of Schedule 3.3 to derogate the agreement in question.

v. As a matter of fact, as evident from the impugned order, (1986) SCC OnLine Bom 404 (2003) SCC OnLine Bom 1282 (1998) SCC OnLine AP 615 (1962) SCC OnLine All 232 (1985) SCC OnLine Ker. 105 2017-TIOL-2672-HC-AP-VAT 2016-TIOL-2960-HC-DEL-IT",,"15. It is next contended that the purport of the show cause notice was also clear to the effect that respondent No.2 intended to review the assessment order dated 16 March 2015, and the reasons for such review in substance was to the effect that there was no sale of business of domestic and generic formulation that could be allowed as a deduction. It is submitted that the reasons as furnished for reviewing the assessment order if read as a whole, indicate that there was a sale of individual assets and for such reason, a deduction of sale of business was not warranted. It is next contended that the revenue's case as narrated in the show cause notice dated 6 April 2017 does not restrict the reviewing authority to pass an order on facts elicited during the proceedings so as to restrict scope of the review proceedings, especially when ample opportunity of hearing was given to the petitioner right from 2017 to 2021.","(xi) Without prejudice to the aforesaid submissions, it is submitted that the impugned order and the impugned demand notice are patently bad in law as the same are beyond the scope of the show cause notice, more particularly when the impugned order was sought to be passed in exercise of the review powers under the provisions of Section 25 of the MVAT Act. It is submitted that the review power is to be exercised conditional upon the Commissioner serving on the dealer a notice in the prescribed form namely in 'Form 309' as prescribed in Rule 30 of the Maharashtra Value Added Tax Rules, 2005, as Section 25(1) of the MVAT Act mandates that the notice shall be as prescribed under the rules and in Form 309. It is submitted that in the present case, the notice under Section 25 read with Rule 30 was issued to the petitioner being notice dated 06 April, 2017 which had set out the ""gist of the order proposed to be passed"". This notice recorded that if the petitioner wished to prefer any objection against such order as proposed to be passed, the petitioner could attend a hearing before the relevant officer. It is hence submitted that on a cumulative reading of Section
","37. It can thus be seen from the gist of the order proposed to be passed in the review proceedings, that the reviewing authority, on a perusal of the BTA in general and more particularly Schedule 3.3, noticed that the allocation of cash consideration for stamp duty purpose of the items as contained in Schedule 3.3 of the BTA included various types of assets. He stated that the petitioner (dealer) had bifurcated the consideration of the tangible immovable assets, trademark and associate rights, brandwise breakup, rights under exclusive distribution agreement, trademark licences, business transfer agreement and non-stampable assets. Accordingly, the show cause notice recorded that there was reason to believe, that the claim of sale of business of domestic and generic formulation to Abbott Healthcare as slump sale, was incorrectly granted by the assessing authority by not bringing to tax, such turnover of sales as
",,"(xiv) (A) SAP IT platform Software, the Advance Planner Optimization Software for supply chain management and the i2 system Software for forecasting sales demand; and (B) all other Software owned or licensed (to the extent assignable, with or without the Consent of any third Person) to Seller that is used by Seller or its Affiliates primarily in the Business at any time prior to the Closing Date, (the ""Purchased Software"");
"
,,"38. The petitioner replied to the review notice received under Section 25 of the MVAT Act by its detailed letter dated 05 May, 2017 addressed to the reviewing authority. In the reply, the petitioner contended that it was not liable to pay any tax on any of the reasons/ allegations as set out in the review notice. It was stated that such reasons were clearly based on erroneous appreciation of the factual scenario and incorrect interpretation of the legal provisions. It was stated that the allegation of understatement of liability on the ground that assets transferred under the slump sale are liable to be taxed as sale of goods, for the reason that Schedule 3.3 of the BTA contained separate valuation of assets, was wholly unfounded and made on surmises and fallacious presumptions, without appreciating the factual and legal position qua the nuances of the slump sale. The following primary contentions were raised by the petitioner alongwith supporting decisions, in its reply to the show cause notice to contend that sale of business as a going concern was not taxable under the MVAT Act:-

(i) sale of business does not fall within the definition of 'goods';","16. It is next contended that whether a transaction of sale of business as going concern or otherwise, is a question of fact, hence within the permissible parameters of review. The legal decisions, as referred by the
","vi. It is submitted that the transfer of goodwill and brands (patent and trademark) are essential to consummate the transfer of business as a going concern otherwise the buyer would not be able to operate the business. Further, as a part of the transitional arrangement, permission for use of Corporate Name or Corporate Logo to the buyer for the temporary period (Corporate Name for a period of 8 years and Corporate Logo for a period of 9 months) also does not derogate from the fact that the business in its entirety has been transferred by the seller; and that permission for temporary use was to ensure continuity of the transferred business in the hands of the buyer.",,"17. In regard to applicability of service tax, it is contended that the applicability of service tax does not in any manner exclude applicability of VAT. It is contended that it is established that the transaction in question is amenable to VAT, as held in the impugned order. The contention of the petitioner to the effect that the impugned order accepts the transaction to be a Business Transfer is denied, in contending that this would amount to an erroneous interpretation of the impugned order by the petitioner. The petitioner's contention that itemized valuation of the assets as transferred would not be relevant, when the sale of business was","11 June, 2024 wp 2836-21.doc 25 of the MVAT Act with Rule 30 of the MVAT Rules and Form 309, it was explicit that the respondents are required to (i) issue a notice to the affected party and (ii) grant a hearing to the affected party if it has any objections to the proposed order. It is submitted that in the present case, the notice in question forming the basis for review was to the effect that the transaction in question is not a slump sale for the reason that under Schedule 3.3 to the BTA included various assets and allocation of cash consideration for the purpose of stamp duty. The opinion of the department, therefore, was that the petitioner (dealer), had bifurcated the consideration of the different assets and for such reason, although the transaction was not a slump sale, incorrectly the petitioner was granted benefit of a slump sale by the assessing officer. It is for such reason, it was proposed to review the assessment order. On such backdrop, it is submitted that in passing the impugned order dated 31 March, 2021, reviewing the original assessment order, the proposed basis of the review has been completely forsaken and an entirely new basis was adopted. It is submitted that this is clear from the fact that the impugned order proceeds on the basis of some of the intellectual property rights namely corporate name, corporate logo and goodwill","3. If you do not pay the amount by the date specified above, the amount will be recoverable as an arrears of land revenue under section 32(5) of the Maharashtra Value Added Tax Act, 2002.",,"(xv) all Governmental Authorizations, in each case to the extent assignable with or without the Consent of the issuing Governmental Authority, (xvi) all books, records, files, studies, manuals, reports and other materials (in any form or medium), including all advertising materials, catalogues, price lists and cost information, business and marketing plans, advertising and promotional materials, customer, distributor, third party manufacturer and supplier lists and information, mailing lists, distribution lists, client and customer lists, referral sources, supplier and vendor lists, purchase orders, sales and purchase invoices, correspondence, clinical data and protocols, production data, purchasing materials and records, research and development files, records, data books, Intellectual Property disclosures and records, manufacturing and
"
,,"39. It is on the above premise, a hearing was held before the reviewing authority on the review proceedings. The petitioner was represented at such hearing, as also the representative of Abbott Healthcare appeared by teleconferencing. The petitioner also submitted a synopsis of its submissions, reiterating its contentions. The reviewing authority accordingly proceeded to pass the impugned order dated 31 March, 2021. In the impugned order, the basic premise on which it was decided to","22. It is next contended that the consideration for transfer of business is lump sum under the guise of 'Business Transfer Agreement', however, certain intellectual properties defined therein, are transferred with several limitations and conditions, some of them for limited period of eight to nine years, namely Corporate Name and Logo. It is, hence, stated that although the BTA and consideration thereof may not be taxable, it does not mean that when there is a separate agreement for transfer of intellectual property rights, the consideration thereof cannot be ascertained from allied documents.

","vii. That there was a clear commercial rationale for allowing temporary / non-exclusive use of the corporate name and corporate

-------------------------

11 June, 2024 wp 2836-21.doc logo, to enable successful transition of the business from seller to buyer. The business sold by the seller alongwith the products, were associated with the seller since many years. After transfer of the business, when the buyer was to sell the acquired products in the market, there would be a likelihood of a doubt in the mind of the public in general on the genuineness of the product and its source. Hence, to avoid such situation in the public mind for the products, that too in pharmaceutical space, there was a compelling need for temporary use of the seller corporate name and corporate logo etc. in connection with the transferred business and the nature of business transaction under the BTA can be taken away or be different because of the mere temporary non-exclusive use allowed to achieve the principal objective of the business transfer.

(viii) Such temporary/non-exclusive use does not derogate the agreement or the treatment of transfer of a business.",,"11 June, 2024 wp 2836-21.doc as a going concern is alleged to be untenable from the interpretation of legal materials and the reading of the document(s) as a whole. It is next contended that the agreement for sale and clauses therein are not consistent with the transaction of sale of business as a going concern for the reason that there are several clauses which provide for exclusion of assets in sale of business transaction, which according to the Revenue, is inconsistent with the petitioner's claim of the sale of business. Although part of sale of assets is coupled with transfer of right to use, the definition of sale in Section 2(24) includes transfer of 'right to use' as a deemed sale. It is next contended that the petitioner was served with show cause notice which clearly indicated that a deduction of sale of business as slump sale was incorrectly granted. It is stated that the case of the Revenue in the show cause notice and the hearing thereon were always on points of entitlement on a deduction as slump sale in which the petitioner participated. It is, therefore, not correct for the petitioner to state that the scope of review in any manner was restricted by the show cause notice when in fact the petitioner was specifically confronted with the nature of the transactions at the time of hearing, which had led to the impugned conclusion based on facts of the case and written submissions. It is, therefore, submitted that the petition deserves to be dismissed.
","31. It is next submitted that the impugned order and the impugned notice of demand are bad in law on the ground that there is no application of mind by the respondents for many reasons. In this context, it is submitted that the jurisdictional service tax authorities under the Finance Act, 1994 had also raised on the petitioner a service tax demand vide a notice dated 15 October, 2015, on identical issues as raised in the impugned order. The respondent authority had taken recourse to such order passed by the service authorities to the effect that the allegations from the service tax demand notice were verbatim copied as clearly seen from the impugned order. In this regard, a reference is made to paragraphs 13 to 26 and 30 to 31 of the impugned order, which when examined against paragraph 4, 5.1 to 5.4, 6.1 and 10 of the service tax order / demand notice would evidence that the impugned order has merely copied and pasted the findings and reasons from service tax proceedings. A comparative table to that effect is also placed on record to show the copying of the extract from the service tax demand notice. It is, therefore, submitted that the reviewing authority has not applied its mind","47. Before we proceed to examine the above questions, it would be appropriate to note in some detail the relevant contents of the BTA, so as to appreciate the basic nature of the transaction between the parties.
",,"(d) the Contracts, Registrations, Intellectual Property rights and all other assets, rights and properties which Seller acquired from Hoechst Marion Roussel Limited related to the research, development, formulation, manufacture, sale, marketing and distribution of Haemaccel solely within India, Nepal and Sri Lanka.
"
,,"1. Take notice that the total amount including tax, interest and penalty payable by you for the period from 01-April 2010 to 31-Mar-2011 has been determined by undersigned as per the Order No. B-3413 dated 31.03.2021 at Rs.26067963675.00 as shown in the table below:-","11 June, 2024 wp 2836-21.doc
","11 June, 2024 wp 2836-21.doc being not permanently transferred, but were transferred only for a certain time period. It is hence submitted that such basis is distinct from the basis proposed in the notice seeking review dated 06 April, 2017. It is thus submitted that the petitioner was never put to a notice of the actual basis as found in the impugned order, (ii) the petitioner never had an opportunity to meet such basis, (iii) the petitioner never had an opportunity of a hearing on such issues which were in fact, alien to the notice. This has resulted in a patent lack of opportunity to the petitioner to defend itself and to have a personal hearing on such issues. Thus, there is a clear breach not only of the statutory provisions but also of the fundamental principles of natural justice. It is submitted that there has been an obstructive violation of the rule of audi alteram partem. It is hence submitted that the impugned order would stand vitiated and is unsustainable in law. In support of such a statement, reliance is placed on the decision of the Supreme Court in Nawabkhan Abbaskhan vs. State of Gujarat 13, Nuwood Private Ltd. vs. Superintendent of Central Excise14, CCE vs. Ballarpur Industries (1974) 2 SCC 121 1981 (8) ELT 184 (Mad.)

-------------------------

11 June, 2024 wp 2836-21.doc Limited15, Rajmal Lakhichand vs. CC, Aurangabad16 and SACI Allied Products Limited vs. CCE17.",,"11 June, 2024 wp 2836-21.doc C. 2nd Affidavit in Reply on behalf of the Respondents:-

18. There is an additional affidavit filed on behalf of respondent no.1 of Dr. David Alvares dated 14 September, 2022, which inter alia reiterates the contentions as raised in the first affidavit, however, some of the contentions as raised in a different form can be noted.
19. It is contended that the initiation of review of the assessment order by issuing show cause notice and thereafter passing of the impugned order in the review proceedings and issuance of the consequent demand notice, are well within the jurisdiction of respondent no.2 as per the provisions of Section 25 of the MVAT Act. It is hence not correct for the petitioner to contend that the proceedings are without jurisdiction or in excess of jurisdiction or of wrongful assumption of jurisdiction. It is further contended that the petitioner's contention that the impugned order is in violation of principles of natural justice is too casual and self serving as right from the show cause notice till the impugned order was passed, the petitioner was heard on number of occasions. Further even the representative/advocate for Abbott Healthcare was also heard. This apart, written submissions were also filed on behalf of the petitioner. Thus the contention that the principles of natural justice are not followed, is not correct.","11 June, 2024 wp 2836-21.doc and has acted in an arbitrary manner in passing the impugned order which is a quasi-judicial order. It is submitted that for such reason, the entire proceedings are vitiated and bad in law. In this context, it is further submitted that the apparent non-application of mind is also clear from the finding recorded by the reviewing authority that the value of intangible items transferred temporarily by the petitioner is Rs.28.80 Crores only but however, has recorded that the value of non-compete is Rs.513.54 Crores. However, the reviewing authority has taken the value of these items for the purposes of exigibility to tax under the MVAT Act as Rs.17,598 Crores, which sum includes goodwill, brands transferred and software. It is submitted that thus there is ex facie non application of mind by the reviewing authority warranting the impugned order to be set aside.","(v) On the fourth (4th) anniversary of the Closing Date, the Indian Rupee equivalent (calculated pursuant to Schedule 3.1(b)) of Four Hundred Million Dollars (USD 400,000,000) (the ""Fourth Annual Installment Payment"", and together with the First Annual Installment Payment, the Second Annual Installment Payment and the Third Annual Installment Payment, the ""Annual Installment Payments"", and each an ""Annual Installment Payment"").
",,"(i) all rights, title and interest of Seller and its Affiliates to assets used in connection with the Other Businesses, except to the extent that such assets are included in the Transferred Assets;
"
,,"11 June, 2024 wp 2836-21.doc Officer. On further scrutiny of the records, the Assessing Officer noted that out of the consideration of Rs.19,500/- for the transfer of its Ooty branch, a sum of Rs.18,929.71 representing the sale value of the closing stock held at Ooty branch was wrongly exempted from payment of tax, hence the assessee was not eligible for exemption under the Sales Tax Rules. Accordingly, notice was issued to the assessee calling for its objections to the proposed revision of assessment. The assessee responded to the notice by contending that the business at Ooty branch as a whole was sold and that the branch business was also to be considered as a business as defined under Section 2(d) of the Tamil Nadu General Sales Tax Act, 1959, and that the sale value of the stock held was eligible for the exemption from payment of tax under Rule 6(d) of the Rules. The Assessing Officer did not accept this objection, as he was of the view that only the business sold as a whole was exempted from tax. He accordingly considered a sum of Rs.18,929.71 as the sale value of the stock and added it to a turnover for the year and assessed sales tax accordingly. The Assessee's appeal against the said order did not succeed. On a further appeal, before the Sales Tax Appellate Tribunal it was found that the entire business including furniture, fittings etc., had been transferred. The tribunal was held that the turnover in question was liable to be exempted.","11 June, 2024 wp 2836-21.doc (internal page 28 thereof), the respondents have agreed to the factum, that the present case is one of a transfer of business. It is submitted that Schedule 3.3 of the BTA was formulated for a specific reason, that is for the purposes of ""allocation of cash consideration for stamp duty purposes"". Such allocation did not derogate from the factor that the transaction in question is a transfer of a business as a going concern.
","32. It is next submitted that the writ petition on the aforesaid submissions in assailing the impugned order would be maintainable without the petitioner being directed to take recourse to an alternative statutory remedy. This also for the reason that there is palpable failure of the respondents in adhering to the provisions of law in exercising the review jurisdiction, hence, the impugned order and the impugned demand notice would deserve to be quashed. Reliance in this context is placed on the decision of the Supreme Court in Godrej Sara Lee Limited vs. Excise",,"11 June, 2024 wp 2836-21.doc
20. It is next contended that the petitioner's case that the impugned order is beyond the scope of show cause notice is also not well founded for the reason that the show cause notice in clear terms had recorded that the sale of the business of domestic and generic formulation was incorrectly accepted in the assessment order and on such issue and other allied issues, the review proceedings were being initiated. It is next contended that the petitioner's case that the impugned order is beyond the show cause notice cannot be sustained also for the reason that the petitioner had defended action of levy of tax on the transfer of Intellectual Property Rights and other intangible assets as is evident from copy of reply dated 05 May, 2017 and synopsis of submissions dated 22 March, 2021 of the petitioner.","11 June, 2024 wp 2836-21.doc and Taxation Officer18 and Kharghar Co-Op. Housing Societies Federation Ltd. & Ors. vs. Municipal Commissioner, Panvel Municipal Corporation & Ors.19. It is, therefore, submitted that the impugned order be quashed and set aside and the writ petition be allowed. E. Submissions on behalf of the respondents:-

33. Mr. Sonpal, learned Counsel for the respondent in opposing the petition has made the following submissions:
i. At the outset it is submitted that the petition ought not to be entertained when there is an alternate remedy available to the petitioner to assail the impugned order by way of an appeal before the Maharashtra Sales Tax Tribunal which would be the competent forum to examine all issues as raised by the petitioner. It is submitted that merely making allegations of breach of principles of natural justice are not sufficient to maintain the petition under Article 226 of the Constitution of India. It is submitted that the petitioner intends to avoid pre-deposit of an amount of Rs. 15 crores as against the demand of Rs. 2607 crores. It is, therefore, submitted that the petition be dismissed on this count alone. 2023 (384) ELT 8 (SC) 2023(3) BCR 505","8. Novation - Intek $10,000,000",,"(a) Excluding any use in respect of the Other Businesses, effective as of the Closing, Seller shall grant (to the extent Seller has rights to) to Purchaser and its Affiliates a perpetual, irrevocable, worldwide, exclusive (even with respect to Seller and its Affiliates solely with respect to the products of the Business) and royalty-free right and license (with the right to grant sublicenses and covenants not to sue) to use the Seller Mixed-Use Intellectual Property for purposes of making, having made, using, selling, offering to sell, importing or exporting pharmaceutical products in finished form.
"
,,,"vii. That there was a clear commercial rationale for allowing temporary / non-exclusive use of the corporate name and corporate
","11 June, 2024 wp 2836-21.doc order cannot be termed to be illegal and contrary to the provisions of Section 25 and Rule 30 of the MVAT Rules.",,"It is contended that the petitioner has not been taxed on the entire sale consideration of the business, as tax has been levied only on the value of Intellectual Property, and other intangible assets, for which a separate agreement was entered between the parties i.e. firstly the agreement dated 21 May, 2010 and thereafter the agreement dated 08 September, 2010 titled as 'Registered User Agreement and Trade Mark Licence Agreement'.
","11 June, 2024 wp 2836-21.doc ii. On the petitioner's contention that the impugned order is in violation of the principles of natural justice, it is submitted that it is not in dispute that the petitioner was heard by the Reviewing Authority before passing the impugned order. It is submitted that in fact the entire procedure as adopted by the respondent in adjudicating the review proceeding was lawful for the reason that a notice was issued to the petitioner and thereafter an opportunity was granted to the petitioner to respond to the notice, a personal hearing on the notice was given, and thereafter, the impugned order is passed. Hence, the contention that there is breach of principles of natural justice, ought not to be accepted.","10. Novation - Allergen $4,000,000

",,"(c) Effective as of the Closing, Seller, on behalf of itself and its Affiliates, shall grant to Purchaser and its Affiliates for a fixed- term of eight (8) years, an irrevocable, exclusive (even with respect to Seller and its Affiliates) and royalty-free right and license (with the right to grant sublicenses to distributors, agents and wholesalers (but only to the extent necessary to distribute pharmaceutical products on behalf of Purchaser), and to third party manufacturers (but only to the extent necessary to manufacture on behalf of Purchaser)) to use the Seller Corporate Name for purposes of making, having made, using, selling, offering to sell, importing or exporting generic pharmaceutical products in finished form in India, Nepal and Sri Lanka;
"
